year,county,Hospitality,Admin Support and Waste Mangmt.,"Ag., Forestry, Fishing, Hunting",Arts and Recreation,Construction,Education,Finance and Insurance,"Health Care, Social Assistance",Information,Management,Manufacturing,Mining,Other Services,"Professional, Scientific, and Technical Services",Public Administration,Real Estate Rental and Leasing,Retail Trade,Transportation and Warehousing,Utilities,Wholesale Trade
1/1/08,Skamania,23601226,958638,411787,249129,18527206,56357,532536,35273,4176658,0,423509.3333,2177,1667101,485037,17065,1293693,8234072.5,252624.5,0,3540386
1/1/08,Snohomish,957528248,198811129,3330324,83598779,1982608813,16423651,85041082,26377931,505300971,3514458,84151875.33,13023872,160820610,144162406,2569325,225314032,2640209739,16227669.5,5766803,643121584
1/1/08,Spokane,724302077,152009906,2989133,43526394,1062843361,16839917,68250759,27087370,343048563,2252274,67997855.67,1792967,232341301,107357222,6921868,180512507,1792114475,12350445,2783205,572381325
1/1/08,Stevens,23777900,4714077,1534120,5449089,74494933,292653,2816959,1424618,17285560,0,3357911.667,431577,14750020,2488356,61679,4229359,93030505,400142,170599,20153829
1/1/08,Thurston,261724326,87026155,1945541,22573007,600856596,5107104,26623202,11160695,114401324,89658,18691078,5148635,100520975,51160230,5267271,56380211,797534229.5,2838494.5,554063,185247598
1/1/09,Adams,16553428,3119619,555127,790804,49093186,411372,1042380,40638,9659630,0,2130207.667,0,8011349,1739879,122486,5509187,33786429,197887.5,2266086,38287008
1/1/09,Asotin,23204659,3557749,34174,2662231,34784907,222159,1027067,1080527,6229373,0,1164917.333,39952,4139898,1565505,37311,4551602,59203042,491349,1177,14905203
1/1/09,Benton,266261044,47115301,1720018,20245601,367348826,3196535,18553609,5527356,111888615,527306,17183043,277728,79858789,35953326,184015,67026642,663725686.5,919358,6463184,209939534
1/1/09,Chelan,165177746,19582626,1628444,14279763,232027878,2105768,11574244,2835533,44465896,19570,11953818.33,493015,36826201,21402907,560850,31026307,284730201,2081659,2460154,104094337
1/1/09,Clallam,98067337,11543785,3229350,8594753,123017551,1882628,4044350,1780005,40617322,2706,6927282.667,863491,34530027,11140527,79632,12816202,224800759,1335035.5,149349,62685004
1/1/09,Clark,453961835,79609460,8652415,45937249,533000436,10427701,36624508,23384629,234047075,403520,23213647.67,2415087,71210809.5,48372268,1054411,99338556,911807383.5,6689638,5979449,260744386
1/1/09,Columbia,2585888,1394110,8899,1422202,7472548,18972,184013,102551,2125293,,232997,52373,2156180,503526,31267,802973,5364754.5,62275.5,286018,6750601
1/1/09,Cowlitz,122776126,17380258,2540210,7134847,232347458,3805156,5937558,2255194,56453414,70093,7908203.667,1939497,35985961,13374068,964692,25400461,290354334.5,2154989,837796,93300074
1/1/09,Douglas,27181367,5328818,108359,6590575,89261914,900884,1244835,779415,18020813,3806,2114803.333,286442,7212713,7955435,66295,8266585,118676398.5,888266,305952,58511221
1/1/09,Ferry,4145486,440003,201494,83342,9805703,36926,79187,61496,2843552,0,378942,1744047,1626005,634690,16017,648927,8980151,7142,46449,5862340
1/1/09,Franklin,65400182,14181480,5277811,4336327,151121686,693924,6206607,330504,39240042,0,5281182.667,833036,51138938,8975648,465390,37862368,189168023.5,2673903,564364,129702977
1/1/09,Garfield,320371,849596,23627,0,2454551,3238,36087,0,886460,,177812,0,412225,264177,44686,483062,3418337.5,18470,0,2873114
1/1/09,Grant,102080049,19502904,5455551,7569982,208663632,1745807,9026456,2533770,47726298,22079,8476958.333,363930,39596441,21753557,59734,34530945,239987298.5,1569703.5,8016556,202811169
